"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" CD163 ",-0.630253991596638,7.67248028846154,-3.29218230264012,0.00176138756675376,0.37260975419946,-3.12698329638138
" IRGM ",0.877118122689074,3.73325267307692,3.06299135769804,0.00342110247003254,0.37260975419946,-3.32552789119171
" TNFRSF1A ",-0.668158183193281,6.99831855769231,-3.01642485920537,0.00390236715817349,0.37260975419946,-3.36501394103051
" PDCD1 ",0.929703473949577,3.96603236538462,3.00294331944325,0.00405307940328665,0.37260975419946,-3.37638783440514
" HLA-G ",-0.988371405042022,5.78419219230769,-2.8932572077995,0.00549687169163075,0.37260975419946,-3.46792283212115
" LAMP2 ",-0.394230522689075,7.00804482692308,-2.7921846005008,0.0072365654124794,0.37260975419946,-3.55060586759216
" HLA-DQB1 ",-2.13716392756303,5.34608334423077,-2.73122473526105,0.00852593950546878,0.37260975419946,-3.59998487132703
" EGR2 ",0.783802546218488,5.32168128846154,2.70447975575526,0.00914404221275357,0.37260975419946,-3.62097491080528
" IFNGR1 ",-0.331798695798319,7.67648230769231,-2.66699560207052,0.0100920563791338,0.37260975419946,-3.65064085220454
" PRKCE ",0.535759430252098,4.54071925,2.66092526230509,0.0102537873753281,0.37260975419946,-3.65542142823275
" TNFSF10 ",-0.476971625210093,8.09708928846154,-2.66040646857128,0.0102677189285867,0.37260975419946,-3.65582968558291
" MAGEA4 ",1.10979501260504,3.41718507115385,2.65215316582481,0.010491692757108,0.37260975419946,-3.66231795460033
" VCAM1 ",-0.644748302521011,8.51287738461538,-2.59757600639347,0.0120887499113681,0.37260975419946,-3.70490934092397
" HLA-DQA1 ",-2.63931579431933,6.36878057730769,-2.59443851611202,0.0121961401717157,0.37260975419946,-3.70760797246809
" CSF2RB ",-0.385593448739495,9.20523465384615,-2.59032428643956,0.0123168690089401,0.37260975419946,-3.71052689495527
" ICAM1 ",-0.527077352941184,6.88122675,-2.58518136092568,0.0124810196580904,0.37260975419946,-3.71450487955406
" STAT3 ",-0.498649677310928,9.02158611538461,-2.58383788752604,0.0125242271341922,0.37260975419946,-3.71554321755611
" IRF8 ",-0.533075411764712,7.62921765384615,-2.55624414222318,0.0134423193838712,0.37260975419946,-3.73679406876052
" UBC ",-0.907538290756301,10.2436310961538,-2.51151638958382,0.015061007520425,0.37260975419946,-3.77092963382367
" TAP2 ",0.493137223529408,7.64764846153846,2.50773249285932,0.0152057363266169,0.37260975419946,-3.77379957184804
" IL1R2 ",0.686342257142856,4.69512413461538,2.50301117694387,0.0153880849168764,0.37260975419946,-3.77737655805181
" CTSL ",-0.792464073949586,5.98985430769231,-2.49756719670025,0.0156007990311672,0.37260975419946,-3.78149559889139
" C7 ",-0.878920710924369,8.38877263461539,-2.47757319618208,0.0164050386655937,0.37260975419946,-3.79657313026026
" SYCP1 ",1.07206943554622,3.30555317288462,2.47515621861363,0.0165047545526458,0.37260975419946,-3.79839038706611
" IL24 ",1.24970105882353,4.75505588461538,2.45296615925572,0.0174570636142931,0.37260975419946,-3.81523163807499
" THBS1 ",-0.587962302521009,6.80351473076923,-2.45060568370657,0.0175490631895608,0.37260975419946,-3.81678278505017
" AXL ",-0.560079255462191,5.87339551923077,-2.41569125555289,0.0191368286560221,0.37260975419946,-3.84272883579062
" SSX1 ",1.64939446722689,4.961158,2.39230041088136,0.0202832993131078,0.37260975419946,-3.86016187893702
" RELB ",-0.740580248739494,5.68934423076923,-2.3895029667712,0.0204112622031493,0.37260975419946,-3.86202551349123
" CD209 ",-0.700330289075632,7.87036996153846,-2.38468265298031,0.0206539661973057,0.37260975419946,-3.86556177763318
" PDGFRB ",-0.473673347899158,7.26656957692308,-2.38271684724208,0.0207536853024845,0.37260975419946,-3.86700253036282
" RORC ",0.591923036974789,4.17390744230769,2.338986058848,0.0230864309487479,0.37260975419946,-3.8988423048349
" KIR_Activating_Subgroup_1 ",0.920641199563025,1.69190128115385,2.32333287383977,0.0239766831284541,0.37260975419946,-3.91014012135398
" YTHDF2 ",-0.494580389915973,6.173085,-2.32331361683832,0.0239777969366642,0.37260975419946,-3.91015398778812
" CD53 ",-0.717250800000002,8.48792903846154,-2.32027557412332,0.0241540933862001,0.37260975419946,-3.91234059615089
" MARCO ",-0.623877522689079,7.81112373076923,-2.29992707686795,0.0253649774060038,0.37260975419946,-3.92693473664765
" CCL14 ",-0.630970608403368,8.37070053846154,-2.29098479567054,0.0259139797846852,0.37260975419946,-3.93331971655681
" ITGAM ",-0.565529173109247,5.16872142307692,-2.28389167620595,0.0263569401987021,0.37260975419946,-3.93837190365019
" TNFRSF14 ",-0.625410284033619,6.93778971153846,-2.26955006636129,0.0272731593837367,0.37260975419946,-3.94855312999254
" CRP ",1.20417869210084,3.51300546538462,2.24715542080734,0.0287739705470921,0.37260975419946,-3.96450617290374
" SBNO2 ",-0.717510379831937,6.41184661538461,-2.24375678022433,0.0289922704808741,0.37260975419946,-3.96674929296793
" TPTE ",0.851936757983195,4.35864044230769,2.19349667043206,0.0326194565609613,0.37260975419946,-4.00177643688376
" CASP1 ",-0.396479964705884,6.27901325,-2.19249537365498,0.0326956087269383,0.37260975419946,-4.00246842466885
" S100A8 ",-0.834276801680677,5.11041059615385,-2.18936924566692,0.03293436983781,0.37260975419946,-4.00462738716191
" PMCH ",1.24987616840336,4.52012401153846,2.17803528854422,0.0338273566892566,0.37260975419946,-4.01256334420618
" A2M ",-0.603282433613451,7.99234569230769,-2.1653768053392,0.0348184461900811,0.37260975419946,-4.02112216246476
" PECAM1 ",-0.648255282352943,7.97714421153846,-2.1618193334224,0.0351057168288051,0.37260975419946,-4.0235565942505
" C8G ",0.728162492436974,3.86999113461538,2.15731872564695,0.035472125563997,0.37260975419946,-4.02663221752554
" IFNA1 ",1.48511451354622,4.04060806307692,2.15291324412259,0.0358487687413052,0.37260975419946,-4.02975922438098
" PSMD7 ",-0.471484784873955,7.09852694230769,-2.15032293917382,0.0360483346608433,0.37260975419946,-4.03140363673364
" MAGEA1 ",1.1741091789916,3.43000632884615,2.14296151656882,0.0366783548871723,0.37260975419946,-4.03653059017255
" TTK ",1.05883301344537,5.18349859615385,2.12318282610897,0.0383771650018267,0.37260975419946,-4.04991960794712
" KIR_Inhibiting_Subgroup_2 ",0.610716737647058,2.610801425,2.1143438563552,0.0391431364262643,0.37260975419946,-4.05576173336728
" PSMB7 ",-0.335543107563025,7.20886444230769,-2.11332875253699,0.0392337192117688,0.37260975419946,-4.05644453871178
" CDK1 ",0.474280147899157,4.68269684615385,2.11288654305823,0.0392732369585703,0.37260975419946,-4.05674191269276
" PSMB9 ",-0.408249907563034,8.25968517307692,-2.10361003757258,0.0401102712053113,0.37260975419946,-4.06296941176268
" TLR7 ",0.719708448739499,5.70640344230769,2.09866958033235,0.0405623735768385,0.37260975419946,-4.06627768267165
" CD8B ",0.465698890756304,5.407918,2.09700285994377,0.0407158942180021,0.37260975419946,-4.06739245335908
" SYT17 ",0.776843304033612,3.58927795961538,2.09272932437284,0.0411118424126125,0.37260975419946,-4.07024773770833
" ITGB3 ",0.665999067226888,3.81086525,2.08077067602565,0.0422376961285155,0.37260975419946,-4.07821445574766
" IL1RL2 ",0.79385520117647,3.330337875,2.07835833236494,0.0424680302436262,0.37260975419946,-4.07981737206748
" CD9 ",-0.611047625210088,5.26466082692308,-2.07520354477885,0.0427709014998297,0.37260975419946,-4.08191150321709
" IFNA2 ",1.87647523915966,4.92648120961538,2.07521172793005,0.0427857502866379,0.37260975419946,-4.0820086247542
" CD207 ",1.0606939210084,4.93287536538462,2.06830945611564,0.0434550137446979,0.37260975419946,-4.08658042476589
" CD3G ",0.692683852100835,5.98295269230769,2.06161081181038,0.0440974203060373,0.37260975419946,-4.09090683080546
" NFKB1 ",-0.35516505210084,5.04509442307692,-2.06070923356906,0.044186654848617,0.37260975419946,-4.09150189261364
" LCP1 ",-0.621110789915965,9.28047330769231,-2.05928216432582,0.0443282206318409,0.37260975419946,-4.09244338758736
" IL2 ",1.72905804658823,4.46427664923077,2.05756767523493,0.0445146510837661,0.37260975419946,-4.09367249516567
" CXCR5 ",0.601826349579824,6.51078219230769,2.03697440045241,0.0465928334781222,0.37260975419946,-4.10709634680448
" MERTK ",-0.584093578151261,6.01200832692308,-2.03093438371741,0.0472229608093115,0.37260975419946,-4.11104285981971
" MAPKAPK2 ",-0.629437783193272,6.49892036538462,-2.01937299794648,0.048449676483283,0.37260975419946,-4.11857203031863
" ICAM2 ",-0.331028868907564,6.74169551923077,-2.01507942266493,0.048912200626761,0.37260975419946,-4.12135977468138
" IL17B ",0.712065009579832,2.73169879038462,2.00584949222482,0.0499194064420991,0.37260975419946,-4.12733719419698
